game_name,game_url,previous_date,previous_plays,previous_source,current_date,current_plays,drop,current_source,previous_favorites,current_favorites,reason
Transformice,http://www.kongregate.com/games/Tigrounette/transformice,2023-09-23,20265822,metrics_json,2026-05-01,19531733,734089,metrics_json,120997,22,Metrics route returned a lower play count with zero or sharply reduced favorites; likely alternate/incorrect legacy route rather than a true counter decrease.
Revenge on Anders Behr...,http://www.kongregate.com/games/william_/revenge-on-anders-behring-breivik,2011-07-24,9069,newest,2026-06-30,3286,5783,live_metrics_json,,0,Metrics route returned a lower play count with zero or sharply reduced favorites; likely alternate/incorrect legacy route rather than a true counter decrease.
