priority_rank,game_name,game_url,canonical_game_key,missing_rank_rows,best_missing_rank,first_missing_rank_date,last_missing_rank_date,first_observed_play_count_date,first_observed_play_count_source,page_gap_status,metrics_status,exact_metrics_endpoint_count,exact_metrics_cdx_rows,exact_metrics_cached_endpoint_count,exact_metrics_missing_cache_count,exact_metrics_first_cdx_date,exact_metrics_last_cdx_date,exact_metrics_cdx_rows_in_missing_window,exact_metrics_sampled_rows_in_missing_window,exact_metrics_parsed_rows,exact_metrics_first_parsed_date,exact_metrics_first_parsed_plays,exact_metrics_gap_status,side_endpoint_observations,side_endpoint_cdx_hit_observations,side_endpoint_rows_in_missing_window,side_endpoint_parsed_rows,developer_list_observations,developer_list_rows_in_missing_window,recommended_next_action
1821,The Vault,http://www.kongregate.com/games/JellyGames/the-vault,www.kongregate.com/games/jellygames/the-vault,1,16,2015-09-30,2015-09-30,2019-02-13,metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1822,UFO Escape,http://www.kongregate.com/games/xFireDragonx/ufo-escape,www.kongregate.com/games/xfiredragonx/ufo-escape,1,16,2015-12-18,2015-12-18,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1823,Islandsettler,http://www.kongregate.com/games/Huhibuu/islandsettler,www.kongregate.com/games/huhibuu/islandsettler,1,16,2015-12-26,2015-12-26,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1824,HARD FART (Early Release),http://www.kongregate.com/games/shlte/hard-fart-early-release,www.kongregate.com/games/shlte/hard-fart-early-release,1,16,2016-01-02,2016-01-02,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1825,Pong,http://www.kongregate.com/games/domcurry/pong,www.kongregate.com/games/domcurry/pong,1,16,2016-01-16,2016-01-16,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1826,The Murder,http://www.kongregate.com/games/domcurry/the-murder,www.kongregate.com/games/domcurry/the-murder,1,16,2016-01-25,2016-01-25,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1827,Pixel Cult,http://www.kongregate.com/games/endertaimer/pixel-cult,www.kongregate.com/games/endertaimer/pixel-cult,1,16,2016-02-02,2016-02-02,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1828,Promise Keepers,http://www.kongregate.com/games/SandraKim/promise-keepers,www.kongregate.com/games/sandrakim/promise-keepers,1,16,2016-02-17,2016-02-17,2024-01-04,metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1829,Find Colors (MasterMind),http://www.kongregate.com/games/Ratan81/find-colors-mastermind,www.kongregate.com/games/ratan81/find-colors-mastermind,1,16,2016-03-05,2016-03-05,2026-06-30,live_metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
1830,Nuke Gun,http://www.kongregate.com/games/kizigames/nuke-gun,www.kongregate.com/games/kizigames/nuke-gun,1,16,2016-03-07,2016-03-07,2019-03-20,metrics_json,not_checked,has_metrics,2,0,0,2,,,0,0,0,,,exact_metrics_no_cached_cdx_rows,0,0,0,0,0,0,Run a bounded exact metrics CDX check before escalating.
