pattern_id,pattern_template,example_url,first_seen_timestamp,last_seen_timestamp,status,pattern_type,sort_param,category_param,pagination_style,locale_style,evidence_capture_url,confidence,notes
pat_001,/,https://kongregate.com:80/,20060626224645,20260406162550,archived_only,homepage,,,,none,https://web.archive.org/web/20060626224645/http://kongregate.com:80/,medium,Observed in pilot CDX query; 24290 digest-distinct HTML captures.
pat_002,/en/{genre}-games,https://www.kongregate.com/en/idle-games,20251007045255,20260626042908,archived_only,category,,{genre},,locale_prefixed,https://web.archive.org/web/20251007045255/https://www.kongregate.com/en/idle-games,medium,Observed in pilot CDX query; 106 digest-distinct HTML captures.
pat_003,/games,https://www.kongregate.com:80/games,20070120035144,20260327210441,archived_only,browse,,,,none,https://web.archive.org/web/20070120035144/http://www.kongregate.com:80/games,medium,Observed in pilot CDX query; 1893 digest-distinct HTML captures.
pat_004,/games?sort={sort},https://www.kongregate.com:80/games?sort=newest,20091014115923,20251231195237,archived_only,browse,newest,,,none,https://web.archive.org/web/20091014115923/http://www.kongregate.com:80/games?sort=newest,medium,Observed in pilot CDX query; 836 digest-distinct HTML captures.
pat_005,/{genre}-games,https://www.kongregate.com:80/action-games,20080222160305,20260404135225,archived_only,category,,{genre},,none,https://web.archive.org/web/20080222160305/http://www.kongregate.com:80/action-games,medium,Observed in pilot CDX query; 7409 digest-distinct HTML captures.
