canonical_game_key,game_name,developer,game_url,kongregate_game_ids,best_rank,top_n_appearances,ranking_types,observed_categories,category_tags,platform_flags,facebook_social_candidate,classification_confidence,classification_signals,first_observed_date,first_observed_source,first_ranked_date,first_play_history_date,first_live_metric_date,likely_added_date,likely_added_date_confidence,last_observed_date,last_observed_source,last_ranked_date,last_play_history_date,last_live_metric_date,current_live_metric_status,latest_live_metric_attempt_date,removal_evidence_status,removal_evidence_type,observed_removed_after_date,observed_removed_by_date,removal_confidence,metrics_rows,listing_play_count_rows,max_play_count_observed,page_gap_status,metrics_audit_status,count_source_probe_status,notes
www.kongregate.com/games/fckn/path-of-the-wingman,path of the wingman,fckn,http://www.kongregate.com/games/fckn/path-of-the-wingman,221942,2,1,newest,,,,no,,,2014-10-24,ranked_list,2014-10-24,,,2014-10-24,observed_first_seen_not_launch_date,2014-10-24,ranked_list,2014-10-24,,,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2014-10-24,2026-07-01,low_game_page_not_verified,0,0,0,no_page_cdx_rows,no_cdx,archived_endpoint_hit_no_count,"Live metrics endpoint failure is removal evidence only for the metrics endpoint; game-page availability needs direct verification. Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/lvckrolentstudio/planequests,PlaneQuests,LvCKrolentStudio,http://www.kongregate.com/games/LvCKrolentStudio/planequests,286846,2,1,newest,,,,no,,,2017-10-08,ranked_list,2017-10-08,2026-06-29,2026-06-29,2017-10-08,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2017-10-08,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,0,175,,has_metrics,no_archived_endpoint_rows_observed,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/clarusvictoria/pre-civilization-bronze-age,Pre-Civilization Bronze Age,clarusvictoria,http://www.kongregate.com/games/clarusvictoria/pre-civilization-bronze-age,227766,2,1,top_rated,,,,no,,,2014-12-17,ranked_list,2014-12-17,2017-09-30,,2014-12-17,observed_first_seen_not_launch_date,2022-07-20,count_source_probe; metrics_json,2014-12-17,2022-07-20,,not_checked,,no_removal_evidence,,,,,4,0,608422,,has_metrics,recovered_count,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/leronir/quester-joe,Quester Joe,leronir,http://www.kongregate.com/games/leronir/quester-joe,256481,2,1,newest,,,,no,,,2016-02-02,ranked_list,2016-02-02,2026-06-30,2026-06-30,2016-02-02,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2016-02-02,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,0,160,,has_metrics,no_archived_endpoint_rows_observed,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/coralcnora/raze-3,Raze 3,CoralCnora,http://www.kongregate.com/games/CoralCnora/raze-3,271124,2,1,newest,,,,no,,,2017-09-30,ranked_list,2017-09-30,,,2017-09-30,observed_first_seen_not_launch_date,2017-09-30,ranked_list,2017-09-30,,,live_metrics_failed_http_404,2026-07-01,live_metrics_unavailable,http_404,2017-09-30,2026-07-01,low_game_page_not_verified,0,0,0,no_page_cdx_rows,no_cdx,no_archived_endpoint_rows_observed,"Live metrics endpoint failure is removal evidence only for the metrics endpoint; game-page availability needs direct verification. Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/benjaminsantiago/rectangle-based-tennis-metaphor,Rectangle Based Tennis...,BenjaminSantiago,http://www.kongregate.com/games/BenjaminSantiago/rectangle-based-tennis-metaphor,,2,1,newest,,racing_sports,,no,low,name_or_category:racing_sports,2011-07-21,ranked_list,2011-07-21,2026-06-30,2026-06-30,2011-07-21,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2011-07-21,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,1,669,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/ysoliman2010/revenge-of-the-birds,Revenge of The Birds,ysoliman2010,http://www.kongregate.com/games/ysoliman2010/revenge-of-the-birds,,2,1,newest,,,,no,,,2011-05-28,ranked_list,2011-05-28,2026-06-30,2026-06-30,2011-05-28,observed_first_seen_not_launch_date,2026-06-30,live_metrics_json,2011-05-28,2026-06-30,2026-06-30,live_metrics_available,2026-06-30,live_metrics_available,,,,high_for_metrics_endpoint,1,1,1005,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/coolbuddy/rolling-tires-2,Rolling Tires 2,coolbuddy,http://www.kongregate.com/games/coolbuddy/rolling-tires-2,,2,1,newest,,,,no,,,2011-04-16,ranked_list,2011-04-16,2026-06-29,2026-06-29,2011-04-16,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2011-04-16,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,1,1450,,has_metrics,,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/sergiog482/royal-thief,ROYAL THIEF,SergioG482,http://www.kongregate.com/games/SergioG482/royal-thief,264664,2,1,newest,,,,no,,,2016-06-29,ranked_list,2016-06-29,2026-06-29,2026-06-29,2016-06-29,observed_first_seen_not_launch_date,2026-06-29,live_metrics_json,2016-06-29,2026-06-29,2026-06-29,live_metrics_available,2026-06-29,live_metrics_available,,,,high_for_metrics_endpoint,1,0,244,,has_metrics,no_archived_endpoint_rows_observed,"Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
www.kongregate.com/games/powerpoler/rpg-shooter,RPG Shooter,powerpoler,http://www.kongregate.com/games/powerpoler/rpg-shooter,,2,1,newest,,,,no,,,2011-06-10,ranked_list,2011-06-10,,,2011-06-10,observed_first_seen_not_launch_date,2011-06-10,ranked_list,2011-06-10,,,live_metrics_failed_http_404,2026-06-30,live_metrics_unavailable,http_404,2011-06-10,2026-06-30,low_game_page_not_verified,0,1,241,dynamic_metrics_placeholder,no_cdx,no_archived_endpoint_rows_observed,"Live metrics endpoint failure is removal evidence only for the metrics endpoint; game-page availability needs direct verification. Likely added date is the first observed archive/listing/history date, not a confirmed launch date."
