date,game_name,game_url,plays_count_observed,favorites_count_observed,plays_text,favorites_text,metrics_url,capture_timestamp,capture_url,parser,confidence,notes
2023-08-17,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46631993,80507,"46,631,993","80,507",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20230817204719,https://web.archive.org/web/20230817204719/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20230817204719_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_91a7d32a512ed206.json
2023-09-07,Swords and Souls,http://www.kongregate.com/games/SoulGame/swords-and-souls,13068878,117500,"13,068,878","117,500",https://www.kongregate.com/games/SoulGame/swords-and-souls/metrics.json,20230907184438,https://web.archive.org/web/20230907184438/https://www.kongregate.com/games/SoulGame/swords-and-souls/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20230907184438_https_www.kongregate.com_games_SoulGame_swords-and-souls_metrics.json_c68a589b991c3026.json
2023-09-11,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31505995,203029,"31,505,995","203,029",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20230911034607,https://web.archive.org/web/20230911034607/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20230911034607_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_b375416d8a50c17d.json
2023-10-11,Bloons TD 5,http://www.kongregate.com/games/Ninjakiwi/bloons-td-5,35163383,228490,"35,163,383","228,490",https://www.kongregate.com/games/Ninjakiwi/bloons-td-5/metrics.json,20231011161718,https://web.archive.org/web/20231011161718/https://www.kongregate.com/games/Ninjakiwi/bloons-td-5/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20231011161718_https_www.kongregate.com_games_Ninjakiwi_bloons-td-5_metrics.json_2af940fe8d45b5eb.json
2023-10-17,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46652451,80551,"46,652,451","80,551",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20231017163045,https://web.archive.org/web/20231017163045/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20231017163045_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_5234e0abfaebfdb5.json
2023-10-17,Mutilate-a-Doll 2,http://www.kongregate.com/games/0rava/mutilate-a-doll-2,46652482,80551,"46,652,482","80,551",https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,20231017173545,https://web.archive.org/web/20231017173545/https://www.kongregate.com/games/0rava/mutilate-a-doll-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20231017173545_https_www.kongregate.com_games_0rava_mutilate-a-doll-2_metrics.json_ac4eec0a16de8e4b.json
2023-10-17,Swords and Souls,http://www.kongregate.com/games/SoulGame/swords-and-souls,13080342,117568,"13,080,342","117,568",https://www.kongregate.com/games/SoulGame/swords-and-souls/metrics.json,20231017221658,https://web.archive.org/web/20231017221658/https://www.kongregate.com/games/SoulGame/swords-and-souls/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20231017221658_https_www.kongregate.com_games_SoulGame_swords-and-souls_metrics.json_2c293dcf0707ee1a.json
2023-11-22,Learn to Fly 2,http://www.kongregate.com/games/light_bringer777/learn-to-fly-2,31570823,203300,"31,570,823","203,300",https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,20231122232910,https://web.archive.org/web/20231122232910/https://www.kongregate.com/games/light_bringer777/learn-to-fly-2/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20231122232910_https_www.kongregate.com_games_light_bringer777_learn-to-fly-2_metrics.json_cc918c3c7871335e.json
2023-12-14,Bloons TD 5,http://www.kongregate.com/games/Ninjakiwi/bloons-td-5,35207604,228550,"35,207,604","228,550",https://www.kongregate.com/games/Ninjakiwi/bloons-td-5/metrics.json,20231214220138,https://web.archive.org/web/20231214220138/https://www.kongregate.com/games/Ninjakiwi/bloons-td-5/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20231214220138_https_www.kongregate.com_games_Ninjakiwi_bloons-td-5_metrics.json_bcfb739639f19f31.json
2023-12-16,Bloons TD 5,http://www.kongregate.com/games/Ninjakiwi/bloons-td-5,35208815,228551,"35,208,815","228,551",https://www.kongregate.com/games/Ninjakiwi/bloons-td-5/metrics.json,20231216201217,https://web.archive.org/web/20231216201217/https://www.kongregate.com/games/Ninjakiwi/bloons-td-5/metrics.json,metrics_json,high,Extracted from archived game metrics JSON data/raw/game_metrics/json/20231216201217_https_www.kongregate.com_games_Ninjakiwi_bloons-td-5_metrics.json_15ce6a2566116bbd.json
