status,followup_tier,game_name,game_url,canonical_game_key,best_rank,first_seen_date,endpoint_observations,candidates_with_cdx_rows,failed_observations,unresolved_failed_endpoints,parsed_probe_count_rows,recovered_count_rows,source_types_seen,latest_probe_run_timestamp
no_archived_endpoint_rows_observed,,Escape From Forbidden Forest,http://www.kongregate.com/games/Enagamess/escape-from-forbidden-forest,www.kongregate.com/games/enagamess/escape-from-forbidden-forest,,,4,0,1,0,0,0,metrics_json,2026-07-03T20:29:13Z
no_archived_endpoint_rows_observed,,Escape From Ghost House 3,http://www.kongregate.com/games/top10newgames/escape-from-ghost-house-3,www.kongregate.com/games/top10newgames/escape-from-ghost-house-3,,,2,0,0,0,0,0,metrics_json,2026-07-03T18:38:21Z
recovered_count,,Escape Game - Computer Office Escape,https://www.kongregate.com/games/masasgames/escape-game-computer-office-escape,www.kongregate.com/games/masasgames/escape-game-computer-office-escape,,,26,26,0,0,23,21,metrics_json,2026-07-03T16:03:48Z
no_archived_endpoint_rows_observed,,Escape Rooms 3,http://www.kongregate.com/games/rahchel321/escape-rooms-3,www.kongregate.com/games/rahchel321/escape-rooms-3,,,2,0,0,0,0,0,metrics_json,2026-07-03T20:02:06Z
no_archived_endpoint_rows_observed,,Escape Rooms 4,http://www.kongregate.com/games/rahchel321/escape-rooms-4,www.kongregate.com/games/rahchel321/escape-rooms-4,,,4,0,2,0,0,0,metrics_json,2026-07-03T21:20:16Z
no_archived_endpoint_rows_observed,,Escape Skull Rise,http://www.kongregate.com/games/learner102/escape-skull-rise,www.kongregate.com/games/learner102/escape-skull-rise,,,4,0,2,0,0,0,metrics_json,2026-07-03T22:31:06Z
no_archived_endpoint_rows_observed,,Escape the Study,http://www.kongregate.com/games/BoredAllNight/escape-the-study,www.kongregate.com/games/boredallnight/escape-the-study,,,4,0,2,0,0,0,metrics_json,2026-07-03T21:20:16Z
no_archived_endpoint_rows_observed,,Escape to Home,http://www.kongregate.com/games/Rarkahan/escape-to-home,www.kongregate.com/games/rarkahan/escape-to-home,,,2,0,0,0,0,0,metrics_json,2026-07-03T12:51:50Z
no_archived_endpoint_rows_observed,,Eve quest,http://www.kongregate.com/games/NikolaiS179/eve-quest,www.kongregate.com/games/nikolais179/eve-quest,,,4,0,2,0,0,0,metrics_json,2026-07-03T19:11:16Z
recovered_count,,Evo Explores,https://www.kongregate.com/games/tobeglad/evo-explores,www.kongregate.com/games/tobeglad/evo-explores,,,26,26,0,0,10,9,metrics_json,2026-07-03T16:13:12Z
