game_name,game_url,source_page_timestamp,source_page_path,source_type,endpoint_url,cdx_status,cdx_rows,sample_timestamp,sample_original,sample_mimetype,sample_path,count_signal,parsed_plays,notes
Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,20170728033005,data/raw/developer_game_lists/html/20170728033005_http_www.kongregate.com_80_accounts_brvasil_7a4f324d081dae82.html,developer_game_list,http://www.kongregate.com/accounts/brvasil,fetched,32,20170728033005,http://www.kongregate.com:80/accounts/brvasil,text/html,data/raw/developer_game_lists/html/20170728033005_http_www.kongregate.com_80_accounts_brvasil_7a4f324d081dae82.html,,,developer_page_status=cached; target_not_found_in_sample
Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,20170914112922,data/raw/developer_game_lists/html/20170914112922_http_www.kongregate.com_80_accounts_brvasil_a5938d6abcc565f8.html,developer_game_list,http://www.kongregate.com:80/accounts/brvasil,fetched,32,20170914112922,http://www.kongregate.com:80/accounts/brvasil,text/html,data/raw/developer_game_lists/html/20170914112922_http_www.kongregate.com_80_accounts_brvasil_a5938d6abcc565f8.html,,,developer_page_status=cached; target_not_found_in_sample
Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,20171015215038,data/raw/developer_game_lists/html/20171015215038_http_www.kongregate.com_80_accounts_brvasil_462ee2b7fc2cc3fb.html,developer_game_list,http://www.kongregate.com:80/accounts/brvasil,fetched,32,20171015215038,http://www.kongregate.com:80/accounts/brvasil,text/html,data/raw/developer_game_lists/html/20171015215038_http_www.kongregate.com_80_accounts_brvasil_462ee2b7fc2cc3fb.html,,,developer_page_status=cached; target_not_found_in_sample
Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,20170728033005,data/raw/developer_game_lists/html/20170728033005_http_www.kongregate.com_80_accounts_brvasil_7a4f324d081dae82.html,developer_game_list,http://www.kongregate.com:80/accounts/brvasil,fetched,32,20170728033005,http://www.kongregate.com:80/accounts/brvasil,text/html,data/raw/developer_game_lists/html/20170728033005_http_www.kongregate.com_80_accounts_brvasil_7a4f324d081dae82.html,,,developer_page_status=cached; target_not_found_in_sample
Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,20170914112922,data/raw/developer_game_lists/html/20170914112922_http_www.kongregate.com_80_accounts_brvasil_a5938d6abcc565f8.html,developer_game_list,https://www.kongregate.com/accounts/brvasil,fetched,32,20170914112922,http://www.kongregate.com:80/accounts/brvasil,text/html,data/raw/developer_game_lists/html/20170914112922_http_www.kongregate.com_80_accounts_brvasil_a5938d6abcc565f8.html,,,developer_page_status=cached; target_not_found_in_sample
Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,20171015215038,data/raw/developer_game_lists/html/20171015215038_http_www.kongregate.com_80_accounts_brvasil_462ee2b7fc2cc3fb.html,developer_game_list,https://www.kongregate.com/accounts/brvasil,fetched,32,20171015215038,http://www.kongregate.com:80/accounts/brvasil,text/html,data/raw/developer_game_lists/html/20171015215038_http_www.kongregate.com_80_accounts_brvasil_462ee2b7fc2cc3fb.html,,,developer_page_status=cached; target_not_found_in_sample
Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,20170728033005,data/raw/developer_game_lists/html/20170728033005_http_www.kongregate.com_80_accounts_brvasil_7a4f324d081dae82.html,developer_game_list,https://www.kongregate.com/accounts/brvasil,fetched,32,20170728033005,http://www.kongregate.com:80/accounts/brvasil,text/html,data/raw/developer_game_lists/html/20170728033005_http_www.kongregate.com_80_accounts_brvasil_7a4f324d081dae82.html,,,developer_page_status=cached; target_not_found_in_sample
Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,,,developer_game_list,http://www.kongregate.com/accounts/brvasil/games,fetched,0,,,,,,,developer_game_list_cdx_no_rows
Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,,,developer_game_list,http://www.kongregate.com:80/accounts/brvasil/games,fetched,0,,,,,,,developer_game_list_cdx_no_rows
Zombie Derby 2,http://www.kongregate.com/games/brvasil/zombie-derby-2,,,developer_game_list,https://www.kongregate.com/accounts/brvasil/games,failed: The read operation timed out,0,,,,,,,developer_game_list_cdx_no_rows
Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,,,developer_game_list,http://www.kongregate.com/games/CoralCnora,fetched,0,,,,,,,developer_game_list_cdx_no_rows
Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,,,developer_game_list,http://www.kongregate.com:80/games/CoralCnora,fetched,0,,,,,,,developer_game_list_cdx_no_rows
Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,,,developer_game_list,https://www.kongregate.com/games/CoralCnora,fetched,0,,,,,,,developer_game_list_cdx_no_rows
Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,,,developer_game_list,http://www.kongregate.com/accounts/CoralCnora,fetched,0,,,,,,,developer_game_list_cdx_no_rows
Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,,,developer_game_list,http://www.kongregate.com:80/accounts/CoralCnora,fetched,0,,,,,,,developer_game_list_cdx_no_rows
Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,,,developer_game_list,https://www.kongregate.com/accounts/CoralCnora,fetched,0,,,,,,,developer_game_list_cdx_no_rows
Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,,,developer_game_list,http://www.kongregate.com/accounts/CoralCnora/games,fetched,0,,,,,,,developer_game_list_cdx_no_rows
Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,,,developer_game_list,http://www.kongregate.com:80/accounts/CoralCnora/games,fetched,0,,,,,,,developer_game_list_cdx_no_rows
Football Legends 2016,http://www.kongregate.com/games/CoralCnora/football-legends-2016,,,developer_game_list,https://www.kongregate.com/accounts/CoralCnora/games,fetched,0,,,,,,,developer_game_list_cdx_no_rows
LT-Breakout,http://www.kongregate.com/games/SandmanZA/lt-breakout,,,developer_game_list,http://www.kongregate.com/games/SandmanZA,cached,0,,,,,,,developer_game_list_cdx_no_rows
LT-Breakout,http://www.kongregate.com/games/SandmanZA/lt-breakout,,,developer_game_list,http://www.kongregate.com:80/games/SandmanZA,cached,0,,,,,,,developer_game_list_cdx_no_rows
LT-Breakout,http://www.kongregate.com/games/SandmanZA/lt-breakout,,,developer_game_list,https://www.kongregate.com/games/SandmanZA,cached,0,,,,,,,developer_game_list_cdx_no_rows
LT-Breakout,http://www.kongregate.com/games/SandmanZA/lt-breakout,20170730093649,data/raw/developer_game_lists/html/20170730093649_http_www.kongregate.com_80_accounts_SandmanZA_1ce406fdc78f7a5e.html,developer_game_list,http://www.kongregate.com/accounts/SandmanZA,cached,8,20170730093649,http://www.kongregate.com:80/accounts/SandmanZA,text/html,data/raw/developer_game_lists/html/20170730093649_http_www.kongregate.com_80_accounts_SandmanZA_1ce406fdc78f7a5e.html,,,developer_page_status=cached; target_not_found_in_sample
LT-Breakout,http://www.kongregate.com/games/SandmanZA/lt-breakout,20170323172631,data/raw/developer_game_lists/html/20170323172631_http_www.kongregate.com_80_accounts_SandmanZA_2ad5a6d971c85a0e.html,developer_game_list,http://www.kongregate.com/accounts/SandmanZA,cached,8,20170323172631,http://www.kongregate.com:80/accounts/SandmanZA,text/html,data/raw/developer_game_lists/html/20170323172631_http_www.kongregate.com_80_accounts_SandmanZA_2ad5a6d971c85a0e.html,,,developer_page_status=cached; target_not_found_in_sample
LT-Breakout,http://www.kongregate.com/games/SandmanZA/lt-breakout,20161101075230,data/raw/developer_game_lists/html/20161101075230_http_www.kongregate.com_80_accounts_SandmanZA_88fbb41a7b85be47.html,developer_game_list,http://www.kongregate.com/accounts/SandmanZA,cached,8,20161101075230,http://www.kongregate.com:80/accounts/SandmanZA,text/html,data/raw/developer_game_lists/html/20161101075230_http_www.kongregate.com_80_accounts_SandmanZA_88fbb41a7b85be47.html,,,developer_page_status=cached; target_not_found_in_sample
